"","year","month","date","count","demonth","wkday","deseason"
"182",2013,7,2013-07-01,633,39.008064516129,"Mon",35.6351009231099
"183",2013,7,2013-07-02,601,7.00806451612902,"Tues",-17.6621908152547
"184",2013,7,2013-07-03,635,41.008064516129,"Wed",21.8585364060243
"185",2013,7,2013-07-04,438,-155.991935483871,"Thurs",-182.773872144678
"186",2013,7,2013-07-05,575,-18.991935483871,"Fri",-88.4237628171069
"187",2013,7,2013-07-06,517,-76.991935483871,"Sat",-36.085783705104
"188",2013,7,2013-07-07,475,-118.991935483871,"Sun",-16.0150022165067
"189",2013,7,2013-07-08,616,22.008064516129,"Mon",18.6351009231099
"190",2013,7,2013-07-09,583,-10.991935483871,"Tues",-35.6621908152547
"191",2013,7,2013-07-10,614,20.008064516129,"Wed",0.858536406024271
"192",2013,7,2013-07-11,550,-43.991935483871,"Thurs",-70.773872144678
"193",2013,7,2013-07-12,599,5.00806451612902,"Fri",-64.4237628171069
"194",2013,7,2013-07-13,574,-19.991935483871,"Sat",20.914216294896
"195",2013,7,2013-07-14,471,-122.991935483871,"Sun",-20.0150022165067
"196",2013,7,2013-07-15,581,-12.991935483871,"Mon",-16.3648990768901
"197",2013,7,2013-07-16,582,-11.991935483871,"Tues",-36.6621908152547
"198",2013,7,2013-07-17,609,15.008064516129,"Wed",-4.14146359397573
"199",2013,7,2013-07-18,636,42.008064516129,"Thurs",15.226127855322
"200",2013,7,2013-07-19,697,103.008064516129,"Fri",33.5762371828931
"201",2013,7,2013-07-20,551,-42.991935483871,"Sat",-2.08578370510399
"202",2013,7,2013-07-21,447,-146.991935483871,"Sun",-44.0150022165067
"203",2013,7,2013-07-22,591,-2.99193548387098,"Mon",-6.36489907689014
"204",2013,7,2013-07-23,571,-22.991935483871,"Tues",-47.6621908152547
"205",2013,7,2013-07-24,571,-22.991935483871,"Wed",-42.1414635939757
"206",2013,7,2013-07-25,506,-87.991935483871,"Thurs",-114.773872144678
"207",2013,7,2013-07-26,617,23.008064516129,"Fri",-46.4237628171069
"208",2013,7,2013-07-27,516,-77.991935483871,"Sat",-37.085783705104
"209",2013,7,2013-07-28,485,-108.991935483871,"Sun",-6.01500221650673
"210",2013,7,2013-07-29,597,3.00806451612902,"Mon",-0.364899076890142
"211",2013,7,2013-07-30,584,-9.99193548387098,"Tues",-34.6621908152547
"212",2013,7,2013-07-31,553,-40.991935483871,"Wed",-60.1414635939757
"213",2013,8,2013-08-01,643,58.3467741935484,"Thurs",31.5648375327414
"214",2013,8,2013-08-02,626,41.3467741935484,"Fri",-28.0850531396875
"215",2013,8,2013-08-03,492,-92.6532258064516,"Sat",-51.7470740276846
"216",2013,8,2013-08-04,454,-130.653225806452,"Sun",-27.6762925390873
"217",2013,8,2013-08-05,544,-40.6532258064516,"Mon",-44.0261893994708
"218",2013,8,2013-08-06,542,-42.6532258064516,"Tues",-67.3234811378353
"219",2013,8,2013-08-07,508,-76.6532258064516,"Wed",-95.8027539165563
"220",2013,8,2013-08-08,549,-35.6532258064516,"Thurs",-62.4351624672586
"221",2013,8,2013-08-09,579,-5.65322580645159,"Fri",-75.0850531396875
"222",2013,8,2013-08-10,495,-89.6532258064516,"Sat",-48.7470740276846
"223",2013,8,2013-08-11,481,-103.653225806452,"Sun",-0.676292539087342
"224",2013,8,2013-08-12,519,-65.6532258064516,"Mon",-69.0261893994708
"225",2013,8,2013-08-13,552,-32.6532258064516,"Tues",-57.3234811378353
"226",2013,8,2013-08-14,622,37.3467741935484,"Wed",18.1972460834437
"227",2013,8,2013-08-15,599,14.3467741935484,"Thurs",-12.4351624672586
"228",2013,8,2013-08-16,678,93.3467741935484,"Fri",23.9149468603125
"229",2013,8,2013-08-17,504,-80.6532258064516,"Sat",-39.7470740276846
"230",2013,8,2013-08-18,442,-142.653225806452,"Sun",-39.6762925390873
"231",2013,8,2013-08-19,462,-122.653225806452,"Mon",-126.026189399471
"232",2013,8,2013-08-20,542,-42.6532258064516,"Tues",-67.3234811378353
"233",2013,8,2013-08-21,562,-22.6532258064516,"Wed",-41.8027539165563
"234",2013,8,2013-08-22,577,-7.65322580645159,"Thurs",-34.4351624672586
"235",2013,8,2013-08-23,636,51.3467741935484,"Fri",-18.0850531396875
"236",2013,8,2013-08-24,527,-57.6532258064516,"Sat",-16.7470740276846
"237",2013,8,2013-08-25,459,-125.653225806452,"Sun",-22.6762925390873
"238",2013,8,2013-08-26,521,-63.6532258064516,"Mon",-67.0261893994708
"239",2013,8,2013-08-27,506,-78.6532258064516,"Tues",-103.323481137835
"240",2013,8,2013-08-28,482,-102.653225806452,"Wed",-121.802753916556
"241",2013,8,2013-08-29,572,-12.6532258064516,"Thurs",-39.4351624672586
"242",2013,8,2013-08-30,599,14.3467741935484,"Fri",-55.0850531396875
"243",2013,8,2013-08-31,480,-104.653225806452,"Sat",-63.7470740276846
"244",2013,9,2013-09-01,480,-126.458333333333,"Sun",-23.4814000659691
"245",2013,9,2013-09-02,431,-175.458333333333,"Mon",-178.831296926353
